,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Has electricity,Type of toilet facility,Has radio,Time to get to water source (minutes),Age of head of household,under-5 mortality
0,30-34,rural,6.0,unprotected well,no,,,,,0.21621621621621623
1,30-34,rural,6.0,unprotected well,,,,,,0.21621621621621623
2,30-34,rural,6.0,unprotected spring,no,pit latrine without slab/open pit,,,,0.16666666666666666
3,30-34,rural,6.0,unprotected spring,,pit latrine without slab/open pit,,,,0.16666666666666666
4,30-34,rural,6.0,unprotected spring,no,,no,,,0.15
5,30-34,rural,6.0,unprotected spring,no,,yes,,,0.1111111111111111
6,30-34,rural,6.0,unprotected spring,no,,,,,0.1276595744680851
7,30-34,rural,6.0,unprotected spring,,,no,,,0.15
8,30-34,rural,6.0,unprotected spring,,,yes,,,0.1111111111111111
9,30-34,rural,6.0,unprotected spring,,,,,,0.1276595744680851
10,30-34,rural,6.0,tube well or borehole,no,,no,,,0.24242424242424243
11,30-34,rural,6.0,tube well or borehole,no,,yes,,,0.07936507936507936
12,30-34,rural,6.0,tube well or borehole,no,,,,,0.16279069767441862
13,30-34,rural,6.0,tube well or borehole,,,no,,,0.24242424242424243
14,30-34,rural,6.0,tube well or borehole,,,yes,,,0.07936507936507936
15,30-34,rural,6.0,tube well or borehole,,,,,,0.16279069767441862
16,30-34,rural,6.0,tube well or borehole,no,pit latrine with slab,,,,0.171875
17,30-34,rural,6.0,tube well or borehole,,pit latrine with slab,,,,0.171875
18,30-34,rural,6.0,protected well,no,,,,,0.16049382716049382
19,30-34,rural,6.0,protected well,no,,yes,,,0.20454545454545456
20,30-34,rural,6.0,protected well,,,,,,0.16049382716049382
21,30-34,rural,6.0,protected well,,,yes,,,0.20454545454545456
22,30-34,rural,6.0,protected well,no,ventilated improved pit latrine (vip),,,,0.1111111111111111
23,30-34,rural,6.0,protected well,,ventilated improved pit latrine (vip),,,,0.1111111111111111
24,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,,0.24
25,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,yes,,,0.30434782608695654
26,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,,0.24
27,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,yes,,,0.30434782608695654
28,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,,,,0.13559322033898305
29,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,,,,0.13559322033898305
30,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,,,0.14102564102564102
31,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,,0.25287356321839083
32,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.2
33,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,,,0.14102564102564102
34,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,,0.25287356321839083
35,30-34,rural,6.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.2
36,30-34,rural,6.0,,no,,,20.0,,0.11864406779661017
37,30-34,rural,6.0,,,,,20.0,,0.11864406779661017
38,30-34,rural,6.0,,no,pit latrine without slab/open pit,no,,,0.12903225806451613
39,30-34,rural,6.0,,no,pit latrine without slab/open pit,yes,,,0.23684210526315788
40,30-34,rural,6.0,,no,pit latrine without slab/open pit,,,,0.18840579710144928
41,30-34,rural,6.0,,,pit latrine without slab/open pit,no,,,0.12903225806451613
42,30-34,rural,6.0,,,pit latrine without slab/open pit,yes,,,0.23684210526315788
43,30-34,rural,6.0,,,pit latrine without slab/open pit,,,,0.18840579710144928
44,30-34,rural,6.0,,no,no facility/bush/field,no,,,0.13846153846153847
45,30-34,rural,6.0,,no,no facility/bush/field,yes,,,0.18055555555555555
46,30-34,rural,6.0,,no,no facility/bush/field,,,,0.16058394160583941
47,30-34,rural,6.0,,,no facility/bush/field,no,,,0.13846153846153847
48,30-34,rural,6.0,,,no facility/bush/field,yes,,,0.18055555555555555
49,30-34,rural,6.0,,,no facility/bush/field,,,,0.16058394160583941
50,30-34,rural,6.0,,no,pit latrine with slab,no,,,0.2553191489361702
51,30-34,rural,6.0,,no,pit latrine with slab,yes,,,0.12280701754385964
52,30-34,rural,6.0,,no,pit latrine with slab,,,,0.18269230769230768
53,30-34,rural,6.0,,,pit latrine with slab,no,,,0.2553191489361702
54,30-34,rural,6.0,,,pit latrine with slab,yes,,,0.12280701754385964
55,30-34,rural,6.0,,,pit latrine with slab,,,,0.18269230769230768
56,30-34,rural,6.0,,no,ventilated improved pit latrine (vip),no,,,0.18840579710144928
57,30-34,rural,6.0,,no,ventilated improved pit latrine (vip),yes,,,0.09523809523809523
58,30-34,rural,6.0,,no,ventilated improved pit latrine (vip),,,,0.14393939393939395
59,30-34,rural,6.0,,,ventilated improved pit latrine (vip),no,,,0.18840579710144928
60,30-34,rural,6.0,,,ventilated improved pit latrine (vip),yes,,,0.09523809523809523
61,30-34,rural,6.0,,,ventilated improved pit latrine (vip),,,,0.14393939393939395
62,30-34,rural,6.0,,no,,no,,,0.16606498194945848
63,30-34,rural,6.0,,no,,yes,,,0.17207792207792208
64,30-34,rural,6.0,,no,,yes,,45.0,0.26666666666666666
65,30-34,rural,6.0,,no,,,,,0.16923076923076924
66,30-34,rural,6.0,,no,,,,45.0,0.23076923076923078
67,30-34,rural,6.0,,no,,,,35.0,0.14545454545454545
68,30-34,rural,6.0,,no,,,,32.0,0.11538461538461539
69,30-34,rural,6.0,,no,,,,40.0,0.17333333333333334
70,30-34,rural,6.0,,,,no,,,0.16606498194945848
71,30-34,rural,6.0,,,,yes,,,0.17207792207792208
72,30-34,rural,6.0,,,,yes,,45.0,0.26666666666666666
73,30-34,rural,6.0,,,,,,,0.16923076923076924
74,30-34,rural,6.0,,,,,,45.0,0.23076923076923078
75,30-34,rural,6.0,,,,,,35.0,0.14545454545454545
76,30-34,rural,6.0,,,,,,32.0,0.11538461538461539
77,30-34,rural,6.0,,,,,,40.0,0.17333333333333334
78,30-34,rural,6.0,,no,,,10.0,,0.2403846153846154
79,30-34,rural,6.0,,no,,yes,10.0,,0.27419354838709675
80,30-34,rural,6.0,,,,,10.0,,0.2403846153846154
81,30-34,rural,6.0,,,,yes,10.0,,0.27419354838709675
82,30-34,rural,6.0,,no,,,15.0,,0.1744186046511628
83,30-34,rural,6.0,,no,,yes,15.0,,0.13725490196078433
84,30-34,rural,6.0,,,,,15.0,,0.1744186046511628
85,30-34,rural,6.0,,,,yes,15.0,,0.13725490196078433
86,30-34,rural,6.0,,no,,,30.0,,0.18055555555555555
87,30-34,rural,6.0,,,,,30.0,,0.18055555555555555
88,30-34,rural,6.0,public tap/standpipe,no,,,,,0.09523809523809523
89,30-34,rural,6.0,public tap/standpipe,,,,,,0.09523809523809523
90,30-34,rural,3.0,,no,,no,,,0.23529411764705882
91,30-34,rural,3.0,,no,,yes,,,0.3191489361702128
92,30-34,rural,3.0,,no,,,,,0.26956521739130435
93,30-34,rural,3.0,,,,no,,,0.23529411764705882
94,30-34,rural,3.0,,,,yes,,,0.3191489361702128
95,30-34,rural,3.0,,,,,,,0.26956521739130435
96,30-34,rural,3.0,,no,no facility/bush/field,no,,,0.1956521739130435
97,30-34,rural,3.0,,no,no facility/bush/field,,,,0.25333333333333335
98,30-34,rural,3.0,,,no facility/bush/field,no,,,0.1956521739130435
99,30-34,rural,3.0,,,no facility/bush/field,,,,0.25333333333333335
100,30-34,rural,7.0,unprotected well,no,,,,,0.13846153846153847
101,30-34,rural,7.0,unprotected well,,,,,,0.13846153846153847
102,30-34,rural,7.0,unprotected spring,no,,,,,0.11688311688311688
103,30-34,rural,7.0,unprotected spring,,,,,,0.11688311688311688
104,30-34,rural,7.0,tube well or borehole,no,,,,,0.09803921568627451
105,30-34,rural,7.0,tube well or borehole,,,,,,0.09803921568627451
106,30-34,rural,7.0,protected well,no,pit latrine without slab/open pit,,,,0.09803921568627451
107,30-34,rural,7.0,protected well,,pit latrine without slab/open pit,,,,0.09803921568627451
108,30-34,rural,7.0,protected well,no,,,,,0.08620689655172414
109,30-34,rural,7.0,protected well,,,,,,0.08620689655172414
110,30-34,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,,0.14285714285714285
111,30-34,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,yes,,,0.11538461538461539
112,30-34,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,,0.14285714285714285
113,30-34,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,yes,,,0.11538461538461539
114,30-34,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.12931034482758622
115,30-34,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,,0.12087912087912088
116,30-34,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.12931034482758622
117,30-34,rural,7.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,,0.12087912087912088
118,30-34,rural,7.0,,no,,,20.0,,0.07692307692307693
119,30-34,rural,7.0,,,,,20.0,,0.07692307692307693
120,30-34,rural,7.0,,no,pit latrine without slab/open pit,,,,0.13903743315508021
121,30-34,rural,7.0,,no,pit latrine without slab/open pit,yes,,,0.1310344827586207
122,30-34,rural,7.0,,,pit latrine without slab/open pit,,,,0.13903743315508021
123,30-34,rural,7.0,,,pit latrine without slab/open pit,yes,,,0.1310344827586207
124,30-34,rural,7.0,,no,no facility/bush/field,no,,,0.11475409836065574
125,30-34,rural,7.0,,no,no facility/bush/field,yes,,,0.14
126,30-34,rural,7.0,,no,no facility/bush/field,,,,0.12612612612612611
127,30-34,rural,7.0,,,no facility/bush/field,no,,,0.11475409836065574
128,30-34,rural,7.0,,,no facility/bush/field,yes,,,0.14
129,30-34,rural,7.0,,,no facility/bush/field,,,,0.12612612612612611
130,30-34,rural,7.0,,no,pit latrine with slab,,,,0.10256410256410256
131,30-34,rural,7.0,,no,pit latrine with slab,yes,,,0.11864406779661017
132,30-34,rural,7.0,,,pit latrine with slab,,,,0.10256410256410256
133,30-34,rural,7.0,,,pit latrine with slab,yes,,,0.11864406779661017
134,30-34,rural,7.0,,no,ventilated improved pit latrine (vip),,,,0.20454545454545456
135,30-34,rural,7.0,,,ventilated improved pit latrine (vip),,,,0.20454545454545456
136,30-34,rural,7.0,,no,,no,,,0.10948905109489052
137,30-34,rural,7.0,,no,,yes,,,0.14093959731543623
138,30-34,rural,7.0,,no,,yes,,45.0,0.1568627450980392
139,30-34,rural,7.0,,no,,,,,0.1310344827586207
140,30-34,rural,7.0,,no,,,,45.0,0.15789473684210525
141,30-34,rural,7.0,,no,,,,35.0,0.08163265306122448
142,30-34,rural,7.0,,,,no,,,0.10948905109489052
143,30-34,rural,7.0,,,,yes,,,0.14093959731543623
144,30-34,rural,7.0,,,,yes,,45.0,0.1568627450980392
145,30-34,rural,7.0,,,,,,,0.1310344827586207
146,30-34,rural,7.0,,,,,,45.0,0.15789473684210525
147,30-34,rural,7.0,,,,,,35.0,0.08163265306122448
148,30-34,rural,7.0,,no,,,10.0,,0.14473684210526316
149,30-34,rural,7.0,,,,,10.0,,0.14473684210526316
150,30-34,rural,7.0,,no,,,30.0,,0.13846153846153847
151,30-34,rural,7.0,,,,,30.0,,0.13846153846153847
152,30-34,rural,7.0,public tap/standpipe,no,,,,,0.1724137931034483
153,30-34,rural,7.0,public tap/standpipe,,,,,,0.1724137931034483
154,30-34,rural,4.0,,no,pit latrine without slab/open pit,no,,,0.3137254901960784
155,30-34,rural,4.0,,no,pit latrine without slab/open pit,,,,0.3253012048192771
156,30-34,rural,4.0,,,pit latrine without slab/open pit,no,,,0.3018867924528302
157,30-34,rural,4.0,,,pit latrine without slab/open pit,,,,0.3176470588235294
158,30-34,rural,4.0,,no,no facility/bush/field,no,,,0.26
159,30-34,rural,4.0,,no,no facility/bush/field,yes,,,0.24390243902439024
160,30-34,rural,4.0,,no,no facility/bush/field,,,,0.25274725274725274
161,30-34,rural,4.0,,,no facility/bush/field,no,,,0.26
162,30-34,rural,4.0,,,no facility/bush/field,yes,,,0.24390243902439024
163,30-34,rural,4.0,,,no facility/bush/field,,,,0.25274725274725274
164,30-34,rural,4.0,,no,pit latrine with slab,,,,0.17142857142857143
165,30-34,rural,4.0,,,pit latrine with slab,,,,0.17142857142857143
166,30-34,rural,4.0,,no,ventilated improved pit latrine (vip),,,,0.3409090909090909
167,30-34,rural,4.0,,,ventilated improved pit latrine (vip),,,,0.3409090909090909
168,30-34,rural,4.0,,no,,no,,,0.26515151515151514
169,30-34,rural,4.0,,no,,yes,,,0.30708661417322836
170,30-34,rural,4.0,,no,,,,,0.2857142857142857
171,30-34,rural,4.0,,no,,,,40.0,0.2564102564102564
172,30-34,rural,4.0,,,,no,,,0.26119402985074625
173,30-34,rural,4.0,,,,yes,,,0.30708661417322836
174,30-34,rural,4.0,,,,,,,0.2835249042145594
175,30-34,rural,4.0,,,,,,40.0,0.2564102564102564
176,30-34,rural,4.0,,no,,,10.0,,0.3829787234042553
177,30-34,rural,4.0,,,,,10.0,,0.3673469387755102
178,30-34,rural,4.0,unprotected spring,no,,,,,0.2619047619047619
179,30-34,rural,4.0,unprotected spring,,,,,,0.2619047619047619
180,30-34,rural,4.0,tube well or borehole,no,,,,,0.25
181,30-34,rural,4.0,tube well or borehole,,,,,,0.25
182,30-34,rural,4.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.2459016393442623
183,30-34,rural,4.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.23809523809523808
184,30-34,rural,5.0,unprotected well,no,,,,,0.11764705882352941
185,30-34,rural,5.0,unprotected well,,,,,,0.11764705882352941
186,30-34,rural,5.0,unprotected spring,no,,no,,,0.10810810810810811
187,30-34,rural,5.0,unprotected spring,no,,,,,0.08695652173913043
188,30-34,rural,5.0,unprotected spring,,,no,,,0.10810810810810811
189,30-34,rural,5.0,unprotected spring,,,,,,0.08695652173913043
190,30-34,rural,5.0,tube well or borehole,no,,,,,0.13829787234042554
191,30-34,rural,5.0,tube well or borehole,no,,yes,,,0.07575757575757576
192,30-34,rural,5.0,tube well or borehole,,,,,,0.13829787234042554
193,30-34,rural,5.0,tube well or borehole,,,yes,,,0.07575757575757576
194,30-34,rural,5.0,protected well,no,,,,,0.15
195,30-34,rural,5.0,protected well,no,,yes,,,0.06666666666666667
196,30-34,rural,5.0,protected well,,,,,,0.13846153846153847
197,30-34,rural,5.0,protected well,,,yes,,,0.05714285714285714
198,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,,0.23076923076923078
199,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,,0.23076923076923078
200,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,,,,0.23333333333333334
201,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,,,,0.23333333333333334
202,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,,,0.16853932584269662
203,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,,0.3148148148148148
204,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.22377622377622378
205,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,,,0.16853932584269662
206,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,,0.3148148148148148
207,30-34,rural,5.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.22377622377622378
208,30-34,rural,5.0,,no,,no,20.0,,0.1320754716981132
209,30-34,rural,5.0,,no,,,20.0,,0.17647058823529413
210,30-34,rural,5.0,,,,no,20.0,,0.1320754716981132
211,30-34,rural,5.0,,,,,20.0,,0.17647058823529413
212,30-34,rural,5.0,,no,pit latrine without slab/open pit,no,,,0.17391304347826086
213,30-34,rural,5.0,,no,pit latrine without slab/open pit,yes,,,0.2153846153846154
214,30-34,rural,5.0,,no,pit latrine without slab/open pit,,,,0.19402985074626866
215,30-34,rural,5.0,,,pit latrine without slab/open pit,no,,,0.17391304347826086
216,30-34,rural,5.0,,,pit latrine without slab/open pit,yes,,,0.2153846153846154
217,30-34,rural,5.0,,,pit latrine without slab/open pit,,,,0.19402985074626866
218,30-34,rural,5.0,,no,no facility/bush/field,no,,,0.17777777777777778
219,30-34,rural,5.0,,no,no facility/bush/field,yes,,,0.15942028985507245
220,30-34,rural,5.0,,no,no facility/bush/field,,,,0.16981132075471697
221,30-34,rural,5.0,,,no facility/bush/field,no,,,0.17777777777777778
222,30-34,rural,5.0,,,no facility/bush/field,yes,,,0.15942028985507245
223,30-34,rural,5.0,,,no facility/bush/field,,,,0.16981132075471697
224,30-34,rural,5.0,,no,pit latrine with slab,,,,0.18604651162790697
225,30-34,rural,5.0,,no,pit latrine with slab,yes,,,0.14
226,30-34,rural,5.0,,,pit latrine with slab,,,,0.18604651162790697
227,30-34,rural,5.0,,,pit latrine with slab,yes,,,0.14
228,30-34,rural,5.0,,no,ventilated improved pit latrine (vip),,,,0.17333333333333334
229,30-34,rural,5.0,,no,ventilated improved pit latrine (vip),yes,,,0.11538461538461539
230,30-34,rural,5.0,,,ventilated improved pit latrine (vip),,,,0.1625
231,30-34,rural,5.0,,,ventilated improved pit latrine (vip),yes,,,0.10526315789473684
232,30-34,rural,5.0,,no,,no,,,0.2018348623853211
233,30-34,rural,5.0,,no,,yes,,,0.15966386554621848
234,30-34,rural,5.0,,no,,,,,0.17982456140350878
235,30-34,rural,5.0,,no,,,,40.0,0.15517241379310345
236,30-34,rural,5.0,,no,,,,30.0,0.14285714285714285
237,30-34,rural,5.0,,,,no,,,0.2018348623853211
238,30-34,rural,5.0,,,,yes,,,0.15637860082304528
239,30-34,rural,5.0,,,,,,,0.17787418655097614
240,30-34,rural,5.0,,,,,,40.0,0.15517241379310345
241,30-34,rural,5.0,,,,,,30.0,0.14285714285714285
242,30-34,rural,5.0,,no,,no,10.0,,0.22448979591836735
243,30-34,rural,5.0,,no,,yes,10.0,,0.125
244,30-34,rural,5.0,,no,,,10.0,,0.17525773195876287
245,30-34,rural,5.0,,,,no,10.0,,0.22448979591836735
246,30-34,rural,5.0,,,,yes,10.0,,0.125
247,30-34,rural,5.0,,,,,10.0,,0.17525773195876287
248,30-34,rural,5.0,,no,,,15.0,,0.15555555555555556
249,30-34,rural,5.0,,,,,15.0,,0.14
250,30-34,rural,5.0,,,,yes,15.0,,0.15555555555555556
251,30-34,rural,5.0,public tap/standpipe,no,,,,,0.27419354838709675
252,30-34,rural,5.0,public tap/standpipe,,,,,,0.27419354838709675
253,30-34,rural,10.0,,no,,no,,,0.2716049382716049
254,30-34,rural,10.0,,no,,yes,,,0.23655913978494625
255,30-34,rural,10.0,,no,,,,,0.25287356321839083
256,30-34,rural,10.0,,,,no,,,0.2716049382716049
257,30-34,rural,10.0,,,,yes,,,0.22916666666666666
258,30-34,rural,10.0,,,,,,,0.24858757062146894
259,30-34,rural,10.0,,no,no facility/bush/field,,,,0.3230769230769231
260,30-34,rural,10.0,,,no facility/bush/field,,,,0.3230769230769231
261,30-34,rural,10.0,,no,pit latrine with slab,,,,0.3125
262,30-34,rural,10.0,,,pit latrine with slab,,,,0.3125
263,30-34,rural,8.0,,no,pit latrine without slab/open pit,no,,,0.20833333333333334
264,30-34,rural,8.0,,no,pit latrine without slab/open pit,yes,,,0.18181818181818182
265,30-34,rural,8.0,,no,pit latrine without slab/open pit,,,,0.1941747572815534
266,30-34,rural,8.0,,,pit latrine without slab/open pit,no,,,0.20833333333333334
267,30-34,rural,8.0,,,pit latrine without slab/open pit,yes,,,0.18181818181818182
268,30-34,rural,8.0,,,pit latrine without slab/open pit,,,,0.1941747572815534
269,30-34,rural,8.0,,no,no facility/bush/field,no,,,0.125
270,30-34,rural,8.0,,no,no facility/bush/field,yes,,,0.1320754716981132
271,30-34,rural,8.0,,no,no facility/bush/field,,,,0.12844036697247707
272,30-34,rural,8.0,,,no facility/bush/field,no,,,0.125
273,30-34,rural,8.0,,,no facility/bush/field,yes,,,0.1320754716981132
274,30-34,rural,8.0,,,no facility/bush/field,,,,0.12844036697247707
275,30-34,rural,8.0,,no,,no,,,0.16230366492146597
276,30-34,rural,8.0,,no,,yes,,,0.1783783783783784
277,30-34,rural,8.0,,no,,,,,0.1702127659574468
278,30-34,rural,8.0,,no,,,,35.0,0.3142857142857143
279,30-34,rural,8.0,,,,no,,,0.16230366492146597
280,30-34,rural,8.0,,,,yes,,,0.1783783783783784
281,30-34,rural,8.0,,,,,,,0.1702127659574468
282,30-34,rural,8.0,,,,,,35.0,0.3142857142857143
283,30-34,rural,8.0,,no,,,10.0,,0.136986301369863
284,30-34,rural,8.0,,,,,10.0,,0.136986301369863
285,30-34,rural,8.0,unprotected spring,no,,,,,0.2037037037037037
286,30-34,rural,8.0,unprotected spring,,,,,,0.2037037037037037
287,30-34,rural,8.0,tube well or borehole,no,,,,,0.37777777777777777
288,30-34,rural,8.0,tube well or borehole,no,,yes,,,0.37777777777777777
289,30-34,rural,8.0,tube well or borehole,,,,,,0.37777777777777777
290,30-34,rural,8.0,tube well or borehole,,,yes,,,0.37777777777777777
291,30-34,rural,8.0,protected well,no,,,,,0.11940298507462686
292,30-34,rural,8.0,protected well,no,,yes,,,0.13953488372093023
293,30-34,rural,8.0,protected well,,,,,,0.11940298507462686
294,30-34,rural,8.0,protected well,,,yes,,,0.13953488372093023
295,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,,0.2054794520547945
296,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,,0.2054794520547945
297,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,,,,0.043478260869565216
298,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,,,,0.043478260869565216
299,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,,,0.17045454545454544
300,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,,0.08
301,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.13768115942028986
302,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,,,0.17045454545454544
303,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,,0.08
304,30-34,rural,8.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.13768115942028986
305,30-34,rural,9.0,unprotected well,no,,,,,0.21052631578947367
306,30-34,rural,9.0,unprotected well,,,,,,0.21052631578947367
307,30-34,rural,9.0,,no,pit latrine without slab/open pit,,,,0.07142857142857142
308,30-34,rural,9.0,,,pit latrine without slab/open pit,,,,0.07142857142857142
309,30-34,rural,9.0,,no,,no,,,0.058823529411764705
310,30-34,rural,9.0,,no,,yes,,,0.2079207920792079
311,30-34,rural,9.0,,no,,,,,0.15789473684210525
312,30-34,rural,9.0,,,,no,,,0.058823529411764705
313,30-34,rural,9.0,,,,yes,,,0.2079207920792079
314,30-34,rural,9.0,,,,,,,0.15789473684210525
315,30-34,rural,12.0,,no,,no,,,0.13043478260869565
316,30-34,rural,12.0,,no,,yes,,,0.12
317,30-34,rural,12.0,,no,,,,,0.125
318,30-34,rural,12.0,,,,no,,,0.13043478260869565
319,30-34,rural,12.0,,,,yes,,,0.12
320,30-34,rural,12.0,,,,,,,0.125
321,30-34,rural,,unprotected well,no,,,20.0,,0.18309859154929578
322,30-34,rural,,unprotected well,no,,yes,20.0,,0.23809523809523808
323,30-34,rural,,unprotected well,,,,20.0,,0.18309859154929578
324,30-34,rural,,unprotected well,,,yes,20.0,,0.23809523809523808
325,30-34,rural,,unprotected well,no,pit latrine without slab/open pit,no,,,0.18840579710144928
326,30-34,rural,,unprotected well,no,pit latrine without slab/open pit,yes,,,0.1797752808988764
327,30-34,rural,,unprotected well,no,pit latrine without slab/open pit,,,,0.18354430379746836
328,30-34,rural,,unprotected well,,pit latrine without slab/open pit,no,,,0.18840579710144928
329,30-34,rural,,unprotected well,,pit latrine without slab/open pit,yes,,,0.1797752808988764
330,30-34,rural,,unprotected well,,pit latrine without slab/open pit,,,,0.18354430379746836
331,30-34,rural,,unprotected well,no,no facility/bush/field,no,,,0.06382978723404255
332,30-34,rural,,unprotected well,no,no facility/bush/field,yes,,,0.25396825396825395
333,30-34,rural,,unprotected well,no,no facility/bush/field,,,,0.17272727272727273
334,30-34,rural,,unprotected well,,no facility/bush/field,no,,,0.06382978723404255
335,30-34,rural,,unprotected well,,no facility/bush/field,yes,,,0.25396825396825395
336,30-34,rural,,unprotected well,,no facility/bush/field,,,,0.17272727272727273
337,30-34,rural,,unprotected well,no,pit latrine with slab,,,,0.1111111111111111
338,30-34,rural,,unprotected well,,pit latrine with slab,,,,0.1111111111111111
339,30-34,rural,,unprotected well,no,ventilated improved pit latrine (vip),,,,0.2033898305084746
340,30-34,rural,,unprotected well,no,ventilated improved pit latrine (vip),yes,,,0.11428571428571428
341,30-34,rural,,unprotected well,,ventilated improved pit latrine (vip),,,,0.2033898305084746
342,30-34,rural,,unprotected well,,ventilated improved pit latrine (vip),yes,,,0.11428571428571428
343,30-34,rural,,unprotected well,no,,no,,,0.14619883040935672
344,30-34,rural,,unprotected well,no,,yes,,,0.1941747572815534
345,30-34,rural,,unprotected well,no,,,,,0.1724137931034483
346,30-34,rural,,unprotected well,no,,,,40.0,0.11864406779661017
347,30-34,rural,,unprotected well,,,no,,,0.14619883040935672
348,30-34,rural,,unprotected well,,,yes,,,0.1941747572815534
349,30-34,rural,,unprotected well,,,,,,0.1724137931034483
350,30-34,rural,,unprotected well,,,,,40.0,0.11864406779661017
351,30-34,rural,,unprotected well,no,,,10.0,,0.19753086419753085
352,30-34,rural,,unprotected well,no,,yes,10.0,,0.20408163265306123
353,30-34,rural,,unprotected well,,,,10.0,,0.19753086419753085
354,30-34,rural,,unprotected well,,,yes,10.0,,0.20408163265306123
355,30-34,rural,,unprotected well,no,,,30.0,,0.140625
356,30-34,rural,,unprotected well,,,,30.0,,0.140625
357,30-34,rural,,unprotected spring,no,,,20.0,,0.125
358,30-34,rural,,unprotected spring,,,,20.0,,0.125
359,30-34,rural,,unprotected spring,no,pit latrine without slab/open pit,no,,,0.1509433962264151
360,30-34,rural,,unprotected spring,no,pit latrine without slab/open pit,yes,,,0.14814814814814814
361,30-34,rural,,unprotected spring,no,pit latrine without slab/open pit,,,,0.1497326203208556
362,30-34,rural,,unprotected spring,,pit latrine without slab/open pit,no,,,0.1509433962264151
363,30-34,rural,,unprotected spring,,pit latrine without slab/open pit,yes,,,0.14814814814814814
364,30-34,rural,,unprotected spring,,pit latrine without slab/open pit,,,,0.1497326203208556
365,30-34,rural,,unprotected spring,no,no facility/bush/field,no,,,0.1958762886597938
366,30-34,rural,,unprotected spring,no,no facility/bush/field,yes,,,0.20512820512820512
367,30-34,rural,,unprotected spring,no,no facility/bush/field,,,,0.19852941176470587
368,30-34,rural,,unprotected spring,,no facility/bush/field,no,,,0.1958762886597938
