,Age in 5-year groups,Type of place of residence,Number of household members,Has electricity,under-5 mortality,Type of toilet facility,Has radio,Time to get to water source (minutes),Source of drinking water
238,15-19,rural,,no,0.11403508771929824,no facility/bush/field,,,
239,15-19,rural,,,0.1956521739130435,no facility/bush/field,yes,,
240,15-19,rural,,,0.11304347826086956,no facility/bush/field,,,
241,15-19,rural,,no,0.1095890410958904,pit latrine with slab,,,
242,15-19,rural,,no,0.1276595744680851,pit latrine with slab,yes,,
243,15-19,rural,,,0.1095890410958904,pit latrine with slab,,,
244,15-19,rural,,,0.1276595744680851,pit latrine with slab,yes,,
245,15-19,rural,,no,0.20930232558139536,ventilated improved pit latrine (vip),,,
246,15-19,rural,,,0.20930232558139536,ventilated improved pit latrine (vip),,,
247,15-19,rural,,no,0.0759493670886076,,no,,
248,15-19,rural,,no,0.15121951219512195,,yes,,
249,15-19,rural,,no,0.1184573002754821,,,,
250,15-19,rural,,,0.15121951219512195,,yes,,
251,15-19,rural,,,0.11813186813186813,,,,
252,15-19,rural,,no,0.16363636363636364,,,10.0,
253,15-19,rural,,no,0.21212121212121213,,yes,10.0,
254,15-19,rural,,,0.16363636363636364,,,10.0,
255,15-19,rural,,,0.21212121212121213,,yes,10.0,
256,15-19,rural,,no,0.08823529411764706,,,15.0,
257,15-19,rural,,,0.08823529411764706,,,15.0,
258,15-19,rural,,no,0.2727272727272727,,,30.0,
259,15-19,rural,,,0.2727272727272727,,,30.0,
260,15-19,rural,7.0,no,0.058823529411764705,,,,
261,15-19,rural,7.0,,0.058823529411764705,,,,
262,15-19,rural,5.0,no,0.09375,,,,
263,15-19,rural,5.0,,0.09375,,,,
264,15-19,rural,8.0,no,0.16129032258064516,,,,
265,15-19,rural,8.0,,0.16129032258064516,,,,
266,15-19,urban,6.0,,0.13636363636363635,,,,
267,15-19,urban,,no,0.18518518518518517,pit latrine without slab/open pit,,,
268,15-19,urban,,,0.20689655172413793,pit latrine without slab/open pit,,,
269,15-19,urban,,no,0.2,,no,,
270,15-19,urban,,no,0.15384615384615385,,yes,,
271,15-19,urban,,no,0.16911764705882354,,,,
272,15-19,urban,,yes,0.1891891891891892,,,,
273,15-19,urban,,yes,0.1724137931034483,,yes,,
274,15-19,urban,,,0.17341040462427745,,,,
275,15-19,urban,,no,0.14285714285714285,pit latrine with slab,,,
276,15-19,urban,,no,0.06666666666666667,pit latrine with slab,yes,,
277,15-19,urban,,yes,0.0,pit latrine with slab,,,
278,15-19,urban,,yes,0.0,pit latrine with slab,yes,,
279,15-19,urban,,,0.1111111111111111,pit latrine with slab,,,
280,15-19,urban,,no,0.17647058823529413,ventilated improved pit latrine (vip),,,
281,15-19,urban,,no,0.23076923076923078,ventilated improved pit latrine (vip),yes,,
282,15-19,urban,,,0.20512820512820512,ventilated improved pit latrine (vip),,,
283,15-19,urban,,,0.23333333333333334,ventilated improved pit latrine (vip),yes,,
284,15-19,urban,,,0.0,flush to septic tank,,,
285,15-19,urban,,no,0.11538461538461539,,,0.0,
286,15-19,urban,,yes,0.25,,,0.0,
287,15-19,urban,,,0.16666666666666666,,,0.0,
